fixture_id,date,home_team,away_team,home_fotmob_matches_before,away_fotmob_matches_before,fotmob_points_per_match_diff,fotmob_goal_difference_per_match_diff,fotmob_avg_player_rating_diff,fotmob_starting_xi_avg_rating_diff,fotmob_shots_on_target_per_match_diff,fotmob_expected_goals_per_match_diff,fotmob_chances_created_per_match_diff,fotmob_yellow_cards_per_match_diff,fotmob_red_cards_per_match_diff,fotmob_momentum_score
537327,2026-06-11 19:00:00+00:00,Mexico,South Africa,0,0,,,,,,,,,,
537328,2026-06-12 02:00:00+00:00,South Korea,Czechia,0,0,,,,,,,,,,
537333,2026-06-12 19:00:00+00:00,Canada,Bosnia-Herzegovina,0,0,,,,,,,,,,
537345,2026-06-13 01:00:00+00:00,United States,Paraguay,0,0,,,,,,,,,,
537334,2026-06-13 19:00:00+00:00,Qatar,Switzerland,0,0,,,,,,,,,,
537339,2026-06-13 22:00:00+00:00,Brazil,Morocco,0,0,,,,,,,,,,
537340,2026-06-14 01:00:00+00:00,Haiti,Scotland,0,0,,,,,,,,,,
537346,2026-06-14 04:00:00+00:00,Australia,Turkey,0,0,,,,,,,,,,
537351,2026-06-14 17:00:00+00:00,Germany,Curaçao,0,0,,,,,,,,,,
537357,2026-06-14 20:00:00+00:00,Netherlands,Japan,0,0,,,,,,,,,,
537352,2026-06-14 23:00:00+00:00,Ivory Coast,Ecuador,0,0,,,,,,,,,,
537358,2026-06-15 02:00:00+00:00,Sweden,Tunisia,0,0,,,,,,,,,,
537369,2026-06-15 16:00:00+00:00,Spain,Cape Verde Islands,0,0,,,,,,,,,,
537363,2026-06-15 19:00:00+00:00,Belgium,Egypt,0,0,,,,,,,,,,
537370,2026-06-15 22:00:00+00:00,Saudi Arabia,Uruguay,0,0,,,,,,,,,,
537364,2026-06-16 01:00:00+00:00,Iran,New Zealand,0,0,,,,,,,,,,
537391,2026-06-16 19:00:00+00:00,France,Senegal,0,0,,,,,,,,,,
537392,2026-06-16 22:00:00+00:00,Iraq,Norway,0,0,,,,,,,,,,
537397,2026-06-17 01:00:00+00:00,Argentina,Algeria,0,0,,,,,,,,,,
537398,2026-06-17 04:00:00+00:00,Austria,Jordan,0,0,,,,,,,,,,
537403,2026-06-17 17:00:00+00:00,Portugal,Congo DR,0,0,,,,,,,,,,
537409,2026-06-17 20:00:00+00:00,England,Croatia,0,0,,,,,,,,,,
537410,2026-06-17 23:00:00+00:00,Ghana,Panama,0,0,,,,,,,,,,
537404,2026-06-18 02:00:00+00:00,Uzbekistan,Colombia,0,0,,,,,,,,,,
537329,2026-06-18 16:00:00+00:00,Czechia,South Africa,1,1,0.0,1.0,0.45000000000000107,0.6000000000000005,0.0,,0.0,0.0,0.0,0.3400000000000002
537335,2026-06-18 19:00:00+00:00,Switzerland,Bosnia-Herzegovina,1,1,0.0,0.0,0.0,0.20000000000000018,0.0,,0.0,0.0,0.0,0.0
537336,2026-06-18 22:00:00+00:00,Canada,Qatar,1,1,0.0,0.0,0.0,0.20000000000000018,0.0,,0.0,0.0,0.0,0.0
537330,2026-06-19 01:00:00+00:00,Mexico,South Korea,1,1,0.0,1.0,-0.45000000000000107,-0.3000000000000007,0.0,,0.0,0.0,0.0,0.15999999999999978
537348,2026-06-19 19:00:00+00:00,United States,Australia,1,1,0.0,1.0,-0.2500000000000009,0.09999999999999964,0.0,,0.0,0.0,0.0,0.19999999999999982
537342,2026-06-19 22:00:00+00:00,Scotland,Morocco,1,1,2.0,1.0,-0.14999999999999947,-0.09999999999999964,0.0,,0.0,0.0,0.0,0.92
537341,2026-06-20 00:30:00+00:00,Brazil,Haiti,1,1,1.0,1.0,0.14999999999999947,0.20000000000000018,0.0,,0.0,0.0,0.0,0.6299999999999999
537347,2026-06-20 03:00:00+00:00,Turkey,Paraguay,1,1,0.0,1.0,0.2500000000000009,0.6000000000000005,0.0,,0.0,0.0,0.0,0.30000000000000016
537359,2026-06-20 17:00:00+00:00,Netherlands,Sweden,1,1,-2.0,-4.0,0.34999999999999964,-0.2999999999999998,0.0,,0.0,0.0,0.0,-1.6300000000000001
537353,2026-06-20 20:00:00+00:00,Germany,Ivory Coast,1,1,0.0,5.0,-0.09999999999999964,0.5,0.0,,0.0,0.0,0.0,1.23
537354,2026-06-21 00:00:00+00:00,Ecuador,Curaçao,1,1,0.0,5.0,0.09999999999999964,0.6999999999999993,0.0,,0.0,0.0,0.0,1.27
537360,2026-06-21 04:00:00+00:00,Tunisia,Japan,1,1,-1.0,-4.0,-0.34999999999999964,-1.0,0.0,,0.0,0.0,0.0,-1.42
537371,2026-06-21 16:00:00+00:00,Spain,Saudi Arabia,1,1,0.0,0.0,0.14999999999999947,0.5,0.0,,0.0,0.0,0.0,0.029999999999999895
537365,2026-06-21 19:00:00+00:00,Belgium,Iran,1,1,0.0,0.0,0.10000000000000053,0.10000000000000053,0.0,,0.0,0.0,0.0,0.020000000000000108
537372,2026-06-21 22:00:00+00:00,Uruguay,Cape Verde Islands,1,1,0.0,0.0,,,-1.0,,,-1.0,0.0,-0.1
537366,2026-06-22 01:00:00+00:00,New Zealand,Egypt,1,1,0.0,0.0,-0.10000000000000053,-0.10000000000000053,0.0,,0.0,0.0,0.0,-0.020000000000000108
537399,2026-06-22 17:00:00+00:00,Argentina,Austria,1,1,0.0,1.0,-0.20000000000000018,0.10000000000000053,0.0,,0.0,0.0,0.0,0.20999999999999996
537393,2026-06-22 21:00:00+00:00,France,Iraq,1,1,3.0,5.0,0.2999999999999998,1.4000000000000004,0.0,,0.0,0.0,0.0,2.36
537394,2026-06-23 00:00:00+00:00,Norway,Senegal,1,1,3.0,5.0,-0.2999999999999998,0.7999999999999998,0.0,,0.0,0.0,0.0,2.2399999999999998
537400,2026-06-23 03:00:00+00:00,Jordan,Algeria,1,1,0.0,1.0,0.20000000000000018,0.5,0.0,,0.0,0.0,0.0,0.29000000000000004
537405,2026-06-23 17:00:00+00:00,Portugal,Uzbekistan,1,1,1.0,2.0,0.09999999999999964,0.5999999999999996,0.0,,0.0,0.0,0.0,0.8699999999999999
537411,2026-06-23 20:00:00+00:00,England,Ghana,1,1,0.0,1.0,0.04999999999999982,0.0,0.0,,0.0,0.0,0.0,0.25999999999999995
537412,2026-06-23 23:00:00+00:00,Panama,Croatia,1,1,0.0,1.0,-0.04999999999999982,-0.09999999999999964,0.0,,0.0,0.0,0.0,0.24000000000000005
537406,2026-06-24 02:00:00+00:00,Colombia,Congo DR,1,1,2.0,2.0,-0.09999999999999964,0.40000000000000036,0.0,,0.0,0.0,0.0,1.18
537337,2026-06-24 19:00:00+00:00,Switzerland,Canada,2,2,0.0,-1.5,0.125,0.1999999999999993,0.0,,0.0,0.0,0.0,-0.35
537338,2026-06-24 19:00:00+00:00,Bosnia-Herzegovina,Qatar,2,2,0.0,1.5,0.125,0.34999999999999964,0.0,,0.0,0.0,0.0,0.4
537343,2026-06-24 22:00:00+00:00,Scotland,Brazil,2,2,-0.5,-1.5,0.05000000000000071,-0.2999999999999998,0.0,,0.0,0.0,0.0,-0.5399999999999999
537344,2026-06-24 22:00:00+00:00,Morocco,Haiti,2,2,2.0,2.5,0.1999999999999993,0.8999999999999995,0.0,,0.0,0.0,0.0,1.3649999999999998
537331,2026-06-25 01:00:00+00:00,Czechia,Mexico,2,2,-2.5,-2.0,0.3000000000000007,-0.4499999999999993,0.0,,0.0,0.0,0.0,-1.315
537332,2026-06-25 01:00:00+00:00,South Africa,South Korea,2,2,-1.0,-1.0,-0.15000000000000036,-0.5500000000000007,0.0,,0.0,0.0,0.0,-0.63
537355,2026-06-25 20:00:00+00:00,Ecuador,Germany,2,2,-3.0,-4.5,0.04999999999999982,-0.8500000000000005,0.0,,0.0,0.0,0.0,-2.165
537356,2026-06-25 20:00:00+00:00,Curaçao,Ivory Coast,2,2,-1.5,-6.0,-0.09999999999999964,-1.0,0.0,,0.0,0.0,0.0,-2.045
537361,2026-06-25 23:00:00+00:00,Tunisia,Netherlands,2,2,-2.0,-6.0,-0.2999999999999998,-1.5,0.0,,0.0,0.0,0.0,-2.2600000000000002
537362,2026-06-25 23:00:00+00:00,Japan,Sweden,2,2,-0.5,0.0,0.22499999999999964,8.881784197001252e-16,0.0,,0.0,0.0,0.0,-0.13000000000000006
537349,2026-06-26 02:00:00+00:00,Turkey,United States,2,2,-3.0,-4.0,0.3000000000000007,-0.4499999999999993,0.0,,0.0,0.0,0.0,-1.9899999999999998
537350,2026-06-26 02:00:00+00:00,Paraguay,Australia,2,2,0.0,-1.0,0.04999999999999982,-0.04999999999999982,0.0,,0.0,0.0,0.0,-0.24000000000000005
537395,2026-06-26 19:00:00+00:00,Norway,France,2,2,0.0,1.0,-0.2999999999999998,-0.5,0.0,,0.0,0.0,0.0,0.19000000000000003
537396,2026-06-26 19:00:00+00:00,Senegal,Iraq,2,2,0.0,1.0,0.2999999999999998,0.10000000000000053,0.0,,0.0,0.0,0.0,0.30999999999999994
537373,2026-06-27 00:00:00+00:00,Uruguay,Spain,2,2,0.0,0.0,-0.14999999999999947,-0.2999999999999998,0.0,,0.0,0.0,0.0,-0.029999999999999895
537374,2026-06-27 00:00:00+00:00,Cape Verde Islands,Saudi Arabia,2,2,0.0,0.0,,,1.0,,,1.0,0.0,0.1
537367,2026-06-27 03:00:00+00:00,New Zealand,Belgium,2,2,0.0,0.0,-0.10000000000000053,-0.10000000000000053,0.0,,0.0,0.0,0.0,-0.020000000000000108
537368,2026-06-27 03:00:00+00:00,Egypt,Iran,2,2,0.0,0.0,0.10000000000000053,0.10000000000000053,0.0,,0.0,0.0,0.0,0.020000000000000108
537413,2026-06-27 21:00:00+00:00,Panama,England,2,2,-3.0,-3.0,-0.04999999999999982,-0.5999999999999996,0.0,,0.0,0.0,0.0,-1.8099999999999998
537414,2026-06-27 21:00:00+00:00,Croatia,Ghana,2,2,-3.0,-3.0,0.04999999999999982,-0.5,0.0,,0.0,0.0,0.0,-1.7899999999999998
537407,2026-06-27 23:30:00+00:00,Colombia,Portugal,2,2,2.0,2.0,-0.09999999999999964,0.40000000000000036,0.0,,0.0,0.0,0.0,1.18
537408,2026-06-27 23:30:00+00:00,Congo DR,Uzbekistan,2,2,1.0,2.0,0.09999999999999964,0.5999999999999996,0.0,,0.0,0.0,0.0,0.8699999999999999
537401,2026-06-28 02:00:00+00:00,Jordan,Argentina,2,2,-3.0,-5.0,0.20000000000000018,-0.5,0.0,,0.0,0.0,0.0,-2.26
537402,2026-06-28 02:00:00+00:00,Algeria,Austria,2,2,-3.0,-5.0,-0.20000000000000018,-0.8999999999999995,0.0,,0.0,0.0,0.0,-2.34
537417,2026-06-28 19:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537423,2026-06-29 17:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537415,2026-06-29 20:30:00+00:00,nan,nan,0,0,,,,,,,,,,
537418,2026-06-30 01:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537424,2026-06-30 17:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537416,2026-06-30 21:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537425,2026-07-01 01:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537426,2026-07-01 16:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537422,2026-07-01 20:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537421,2026-07-02 00:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537420,2026-07-02 19:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537419,2026-07-02 23:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537429,2026-07-03 03:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537428,2026-07-03 18:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537427,2026-07-03 22:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537430,2026-07-04 01:30:00+00:00,nan,nan,0,0,,,,,,,,,,
537376,2026-07-04 17:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537375,2026-07-04 21:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537377,2026-07-05 20:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537378,2026-07-06 00:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537379,2026-07-06 19:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537380,2026-07-07 00:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537381,2026-07-07 16:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537382,2026-07-07 20:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537383,2026-07-09 20:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537384,2026-07-10 19:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537385,2026-07-11 21:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537386,2026-07-12 01:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537387,2026-07-14 19:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537388,2026-07-15 19:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537389,2026-07-18 21:00:00+00:00,nan,nan,0,0,,,,,,,,,,
537390,2026-07-19 19:00:00+00:00,nan,nan,0,0,,,,,,,,,,
