fixture_id,fotmob_match_id,team_name,formation,starting_xi_avg_rating,starting_xi_total_rating,starting_xi_avg_minutes,starting_xi_total_minutes,worst_starter_rating,substitutes_avg_rating
537327,4667751,Mexico,4-1-4-1,7.479090909090909,82.27,82.0909090909091,903.0,6.05,6.264
537327,4667751,South Africa,5-3-2,5.803636363636364,63.839999999999996,78.0909090909091,859.0,3.54,5.91
537328,4667752,Czechia,3-4-2-1,6.519090909090909,71.71000000000001,82.36363636363636,906.0,5.66,5.989999999999999
537328,4667752,South Korea,3-4-2-1,7.488181818181818,82.36999999999999,82.54545454545455,908.0,6.86,6.846666666666667
537329,4667753,Czechia,3-5-2,6.965454545454546,76.61999999999999,78.36363636363636,862.0,5.71,6.2299999999999995
537329,4667753,South Africa,4-3-3,7.015454545454546,77.16999999999999,83.18181818181819,915.0,5.74,6.45
537330,4667754,Mexico,4-1-4-1,7.15090909090909,78.66000000000001,84.18181818181819,926.0,6.16,6.05
537330,4667754,South Korea,3-4-2-1,6.456363636363636,71.02,79.36363636363636,873.0,5.77,6.1899999999999995
537331,4667755,Czechia,3-4-2-1,6.205454545454546,68.25999999999999,81.9090909090909,901.0,5.34,5.97
537331,4667755,Mexico,4-1-4-1,7.368181818181818,81.05,81.27272727272727,894.0,6.25,6.468000000000001
537332,4667756,South Africa,4-2-3-1,7.486363636363635,82.35,85.18181818181819,937.0,6.73,6.723333333333334
537332,4667756,South Korea,3-4-2-1,6.52,71.71999999999998,74.0,814.0,5.83,6.384
537333,4667757,Bosnia-Herzegovina,4-4-2,7.210909090909092,79.32000000000001,81.45454545454545,896.0,6.13,6.3125
537333,4667757,Canada,4-4-2,6.957272727272727,76.53,80.72727272727273,888.0,5.73,6.59
537334,4667758,Qatar,4-3-3,6.804545454545454,74.85,80.63636363636364,887.0,6.13,6.3825
537334,4667758,Switzerland,4-3-3,7.469090909090909,82.16,84.27272727272727,927.0,7.11,6.196666666666666
537335,4667759,Bosnia-Herzegovina,4-4-2,5.972727272727273,65.7,83.45454545454545,918.0,5.01,6.045
537335,4667759,Switzerland,4-3-1-2,7.364545454545455,81.01,84.36363636363636,928.0,6.52,7.843333333333334
537336,4667760,Canada,4-4-2,7.659090909090909,84.24999999999999,78.81818181818181,867.0,6.54,6.7375
537336,4667760,Qatar,4-3-3,5.4818181818181815,60.3,65.9090909090909,725.0,4.51,5.7775
537337,4667761,Canada,4-4-2,6.23,68.53,79.18181818181819,871.0,5.08,6.635
537337,4667761,Switzerland,4-2-3-1,7.475454545454546,82.22999999999999,85.27272727272727,938.0,6.75,6.173333333333333
537338,4667762,Bosnia-Herzegovina,4-4-2,7.133636363636364,78.47,76.27272727272727,839.0,6.18,7.0600000000000005
537338,4667762,Qatar,4-3-3,6.1872727272727275,68.05999999999999,79.18181818181819,871.0,4.42,6.12
537339,4667764,Brazil,4-4-2,6.885454545454545,75.74,75.72727272727273,833.0,6.47,6.326
537339,4667764,Morocco,4-2-3-1,7.3109090909090915,80.42,83.54545454545455,919.0,6.64,6.115
537340,4667765,Haiti,4-4-2,6.621818181818182,72.84,85.63636363636364,942.0,5.85,6.095
537340,4667765,Scotland,4-4-2,7.071818181818182,77.79,84.63636363636364,931.0,6.36,6.243333333333333
537341,4667767,Brazil,4-1-2-3,7.595454545454545,83.55000000000001,79.0909090909091,870.0,6.03,6.253333333333333
537341,4667767,Haiti,5-4-1,5.848181818181818,64.33,76.72727272727273,844.0,4.85,6.1175
537342,4667766,Morocco,4-2-3-1,7.245454545454546,79.7,88.27272727272727,971.0,6.82,
537342,4667766,Scotland,4-1-4-1,6.537272727272727,71.91,83.63636363636364,920.0,5.88,6.153333333333333
537343,4667768,Brazil,4-1-2-3,8.08090909090909,88.88999999999999,82.81818181818181,911.0,7.07,6.293333333333333
537343,4667768,Scotland,4-2-3-1,6.039090909090908,66.42999999999999,84.27272727272727,927.0,4.53,6.36
537344,4667769,Haiti,4-4-1-1,6.21,68.31,83.36363636363636,917.0,4.96,5.9875
537344,4667769,Morocco,4-2-3-1,7.126363636363636,78.39,83.27272727272727,916.0,5.4,7.173333333333333
537345,4667771,Paraguay,4-4-2,6.043636363636364,66.47999999999999,80.45454545454545,885.0,5.01,6.372
537345,4667771,United States,4-1-2-3,7.577272727272727,83.35,81.9090909090909,901.0,6.2,6.27
537346,4667772,Australia,5-4-1,7.505454545454546,82.56,83.36363636363636,917.0,6.56,6.236666666666667
537346,4667772,Turkey,4-2-3-1,6.712727272727273,73.83999999999999,81.27272727272727,894.0,5.56,6.890000000000001
537347,4667773,Paraguay,4-4-2,7.342727272727273,80.77,78.72727272727273,866.0,5.65,6.415
537347,4667773,Turkey,4-2-3-1,7.02,77.22,78.27272727272727,861.0,5.97,6.43
537348,4667774,Australia,5-4-1,6.1863636363636365,68.05,74.0,814.0,4.75,6.388
537348,4667774,United States,3-5-2,7.461818181818182,82.07999999999998,86.54545454545455,952.0,6.35,6.3
537349,4667775,Turkey,3-4-2-1,7.527272727272727,82.8,88.54545454545455,974.0,6.37,
537349,4667775,United States,4-3-3,6.451818181818182,70.97,83.0909090909091,914.0,5.48,6.234999999999999
537350,4667776,Australia,3-4-2-1,7.052727272727273,77.58000000000001,86.0,946.0,6.13,6.39
537350,4667776,Paraguay,5-3-2,6.965454545454546,76.61999999999999,83.0909090909091,914.0,5.36,6.36
537351,4667777,Curaçao,4-3-1-2,5.819090909090909,64.00999999999999,83.0,913.0,4.05,6.085
537351,4667777,Germany,4-2-3-1,8.043636363636363,88.48,82.36363636363636,906.0,6.56,6.83
537352,4667778,Ecuador,3-4-3,6.843636363636364,75.28,80.63636363636364,887.0,6.49,5.8975
537352,4667778,Ivory Coast,4-4-2,7.316363636363636,80.48,81.36363636363636,895.0,6.22,6.8225
537353,4667780,Germany,4-2-3-1,7.118181818181818,78.30000000000001,77.27272727272727,850.0,6.48,7.2125
537353,4667780,Ivory Coast,4-3-3,6.842727272727273,75.27000000000001,84.72727272727273,932.0,6.11,5.996666666666667
537354,4667779,Curaçao,5-4-1,7.1872727272727275,79.05999999999999,84.9090909090909,934.0,5.96,6.116666666666667
537354,4667779,Ecuador,3-1-4-2,7.411818181818182,81.53,83.36363636363636,917.0,6.26,6.9
537355,4667781,Ecuador,4-4-2,7.375454545454545,81.13000000000001,82.63636363636364,909.0,6.41,6.676666666666667
537355,4667781,Germany,4-2-3-1,6.430000000000001,70.73,76.54545454545455,842.0,4.77,6.392
537356,4667782,Curaçao,5-4-1,6.34909090909091,69.84,84.81818181818181,933.0,5.52,6.31
537356,4667782,Ivory Coast,4-2-3-1,7.457272727272727,82.03,78.45454545454545,863.0,6.47,6.442
537357,4667783,Japan,3-4-2-1,6.757272727272727,74.33000000000001,83.18181818181819,915.0,5.84,6.585
537357,4667783,Netherlands,4-3-3,7.195454545454546,79.15,83.27272727272727,916.0,5.8,6.233333333333333
537358,4667784,Sweden,3-4-1-2,7.380000000000001,81.18,84.72727272727273,932.0,6.28,6.805
537358,4667784,Tunisia,3-5-2,5.608181818181818,61.69,83.9090909090909,923.0,1.9,6.1433333333333335
537359,4667786,Netherlands,4-3-3,7.594545454545455,83.54,78.54545454545455,864.0,6.14,6.8725
537359,4667786,Sweden,3-5-2,5.862727272727272,64.49000000000001,79.54545454545455,875.0,4.58,6.7375
537360,4667785,Japan,3-4-2-1,7.824545454545454,86.07000000000001,84.45454545454545,929.0,7.03,6.3125
537360,4667785,Tunisia,3-4-2-1,5.826363636363637,64.09,79.27272727272727,872.0,4.86,6.153333333333333
537361,4667787,Netherlands,4-3-3,7.553636363636364,83.09,83.36363636363636,917.0,6.66,6.24
537361,4667787,Tunisia,5-4-1,6.297272727272727,69.27000000000001,82.45454545454545,907.0,5.03,6.04
537362,4667788,Japan,3-4-2-1,7.1,78.1,78.36363636363636,862.0,6.11,6.196
537362,4667788,Sweden,3-4-3,6.837272727272727,75.21000000000001,82.0,902.0,6.39,6.196666666666666
537363,4667790,Belgium,4-2-3-1,7.065454545454545,77.72,80.9090909090909,890.0,6.28,6.43
537363,4667790,Egypt,4-2-3-1,7.064545454545455,77.71000000000001,85.36363636363636,939.0,6.14,6.18
537364,4667791,Iran,4-4-2,7.005454545454546,77.06000000000002,79.36363636363636,873.0,6.04,6.234999999999999
537364,4667791,New Zealand,4-2-3-1,6.963636363636363,76.6,84.72727272727273,932.0,6.09,6.0
537365,4667793,Belgium,4-2-3-1,7.297272727272727,80.27,77.27272727272727,850.0,6.11,6.4225
537365,4667793,Iran,5-4-1,6.972727272727273,76.7,80.0909090909091,881.0,6.18,6.390000000000001
537366,4667792,Egypt,4-2-3-1,7.701818181818182,84.72,82.0909090909091,903.0,6.69,6.646666666666666
537366,4667792,New Zealand,4-2-3-1,6.194545454545454,68.14,84.36363636363636,928.0,5.55,6.29
537367,4667794,Belgium,4-2-3-1,7.675454545454545,84.43,82.72727272727273,910.0,6.73,6.963333333333334
537367,4667794,New Zealand,4-2-3-1,5.49,60.39000000000001,76.0909090909091,837.0,3.28,6.21
537368,4667795,Egypt,4-2-3-1,6.948181818181817,76.43,70.63636363636364,777.0,5.75,6.575999999999999
537368,4667795,Iran,5-4-1,6.902727272727273,75.93,83.72727272727273,921.0,5.98,6.475
537369,4667798,Cape Verde,4-1-4-1,7.008181818181819,77.09000000000002,79.81818181818181,878.0,5.95,6.287999999999999
537369,4667798,Spain,4-3-3,7.414545454545455,81.56,85.45454545454545,940.0,6.21,6.555
537370,4667799,Saudi Arabia,4-4-2,6.850909090909091,75.36,86.45454545454545,951.0,6.31,6.46
537370,4667799,Uruguay,4-4-2,7.016363636363636,77.17999999999999,79.27272727272727,872.0,5.56,6.816666666666667
537371,4667801,Saudi Arabia,5-4-1,5.884545454545455,64.73,76.27272727272727,839.0,4.5,6.3774999999999995
537371,4667801,Spain,4-1-2-3,7.955454545454546,87.50999999999999,74.72727272727273,822.0,7.0,6.218
537372,4667800,Cape Verde,4-1-4-1,6.770909090909091,74.48000000000002,77.45454545454545,852.0,6.23,6.744
537372,4667800,Uruguay,4-2-3-1,6.739090909090908,74.13,85.54545454545455,941.0,4.56,6.45
537373,4667802,Spain,4-3-3,7.304545454545454,80.35,79.81818181818181,878.0,6.27,6.4
537373,4667802,Uruguay,4-2-3-1,6.352727272727273,69.88,76.9090909090909,846.0,4.46,6.217499999999999
537374,4667803,Cape Verde,4-1-4-1,7.040909090909091,77.45,81.18181818181819,893.0,5.64,6.595
537374,4667803,Saudi Arabia,4-4-2,6.942727272727273,76.36999999999999,75.63636363636364,832.0,6.36,6.42
537376,4653843,Canada,4-4-2,,,,,,
537376,4653843,Morocco,4-2-3-1,,,,,,
537391,4667804,France,4-2-3-1,7.528181818181818,82.81,88.81818181818181,977.0,6.21,7.37
537391,4667804,Senegal,4-3-3,6.120909090909091,67.33,85.9090909090909,945.0,5.54,6.585
537392,4667805,Iraq,4-4-2,6.027272727272727,66.3,80.18181818181819,882.0,3.63,6.198
537392,4667805,Norway,4-3-3,7.252727272727273,79.78,83.0,913.0,6.35,6.4875
537393,4667807,France,4-2-3-1,7.8136363636363635,85.95,84.63636363636364,931.0,7.05,6.55
537393,4667807,Iraq,4-3-3,5.971818181818182,65.69000000000001,74.81818181818181,823.0,4.41,6.14
537394,4667806,Norway,4-3-3,6.994545454545454,76.94,76.0909090909091,837.0,6.21,7.076666666666667
537394,4667806,Senegal,4-2-3-1,6.579090909090909,72.37,76.9090909090909,846.0,3.71,6.537999999999999
537395,4667808,France,4-2-3-1,7.790909090909091,85.7,83.63636363636364,920.0,6.51,6.723333333333334
537395,4667808,Norway,4-3-3,6.275454545454545,69.03,78.36363636363636,862.0,4.97,6.09
537396,4667809,Iraq,4-2-3-1,5.362727272727273,58.99,64.27272727272727,707.0,3.85,6.258
537396,4667809,Senegal,4-3-3,7.679090909090909,84.46999999999998,77.27272727272727,850.0,6.59,7.7675
537397,4667812,Algeria,4-2-3-1,6.254545454545454,68.8,81.36363636363636,895.0,5.45,6.123333333333334
537397,4667812,Argentina,4-4-2,7.450909090909092,81.96000000000001,77.72727272727273,855.0,6.45,6.622
537398,4667813,Austria,4-2-3-1,7.245454545454546,79.7,76.81818181818181,845.0,6.43,6.6
537398,4667813,Jordan,5-4-1,6.765454545454546,74.42,86.45454545454545,951.0,5.56,5.94
537399,4667815,Argentina,4-4-2,7.5218181818181815,82.74,80.9090909090909,890.0,7.0,6.330000000000001
537399,4667815,Austria,4-2-3-1,6.316363636363636,69.48,82.36363636363636,906.0,5.35,6.075
537400,4667814,Algeria,4-2-3-1,7.45,81.94999999999999,79.72727272727273,877.0,5.84,6.903333333333333
537400,4667814,Jordan,3-4-2-1,6.7309090909090905,74.03999999999999,87.54545454545455,963.0,5.85,5.98
537401,4667816,Argentina,4-1-3-2,7.142727272727272,78.57,79.45454545454545,874.0,6.3,6.8825
537401,4667816,Jordan,3-4-2-1,6.407272727272727,70.47999999999999,80.36363636363636,884.0,4.92,6.416666666666667
537402,4667817,Algeria,4-2-3-1,6.8536363636363635,75.39000000000001,84.72727272727273,932.0,3.77,6.246666666666667
537402,4667817,Austria,4-2-3-1,6.455454545454546,71.01,75.0909090909091,826.0,5.53,6.6525
537403,4667819,Congo DR,5-3-2,6.959090909090909,76.55000000000001,83.18181818181819,915.0,6.28,6.333333333333333
537403,4667819,Portugal,4-2-3-1,6.911818181818182,76.03,81.9090909090909,901.0,5.67,6.176666666666667
537404,4667820,Colombia,4-3-3,7.269090909090909,79.96,86.36363636363636,950.0,5.79,6.753333333333333
537404,4667820,Uzbekistan,3-4-2-1,6.159090909090909,67.75,79.36363636363636,873.0,4.99,6.255
537405,4667822,Portugal,4-2-3-1,7.78,85.58,77.45454545454545,852.0,6.79,6.645
537405,4667822,Uzbekistan,5-4-1,5.899090909090909,64.89,80.0909090909091,881.0,4.5,6.1499999999999995
537406,4667821,Colombia,4-3-3,7.511818181818182,82.63,83.0,913.0,6.2,6.489999999999999
537406,4667821,Congo DR,5-3-2,6.377272727272728,70.15,78.9090909090909,868.0,5.35,6.324999999999999
537407,4667823,Colombia,4-3-3,7.158181818181817,78.74,81.72727272727273,899.0,6.1,6.085
537407,4667823,Portugal,4-2-3-1,7.007272727272727,77.08,78.0909090909091,859.0,6.34,6.59
537408,4667824,Congo DR,4-4-2,7.386363636363637,81.25,80.9090909090909,890.0,6.06,6.7225
537408,4667824,Uzbekistan,5-4-1,6.685454545454546,73.54,81.36363636363636,895.0,5.66,6.3
537409,4667825,Croatia,3-4-2-1,6.800909090909091,74.80999999999999,80.54545454545455,886.0,5.68,6.208
537409,4667825,England,4-2-3-1,7.134545454545455,78.48,83.9090909090909,923.0,6.07,6.985
537410,4667826,Ghana,4-4-1-1,7.100909090909091,78.11,78.72727272727273,866.0,6.17,6.9799999999999995
537410,4667826,Panama,3-4-3,6.561818181818182,72.17999999999999,83.54545454545455,919.0,5.66,6.406666666666666
537411,4667828,England,4-2-3-1,7.08909090909091,77.97999999999999,81.9090909090909,901.0,6.02,6.4399999999999995
537411,4667828,Ghana,4-3-3,6.732727272727273,74.06,85.45454545454545,940.0,5.74,6.32
537412,4667827,Croatia,4-2-3-1,7.205454545454546,79.25999999999999,77.72727272727273,855.0,6.28,6.532500000000001
537412,4667827,Panama,5-4-1,6.553636363636364,72.08999999999999,88.0,968.0,5.95,6.22
537413,4667829,England,4-2-3-1,7.754545454545454,85.30000000000001,82.27272727272727,905.0,7.29,6.366666666666666
537413,4667829,Panama,5-4-1,6.352727272727273,69.88,82.0909090909091,903.0,5.78,5.853333333333333
537414,4667830,Croatia,4-2-3-1,7.299090909090908,80.29,86.36363636363636,950.0,6.14,6.484999999999999
537414,4667830,Ghana,4-1-2-3,6.234545454545454,68.58,77.9090909090909,857.0,5.56,6.485
537415,4653703,Germany,4-2-3-1,7.191818181818181,79.11,99.54545454545455,1095.0,6.01,6.345
537415,4653703,Paraguay,4-4-2,7.285454545454545,80.14000000000001,101.72727272727273,1119.0,6.34,6.546000000000001
537416,4653704,France,4-2-3-1,8.021818181818182,88.24000000000001,85.27272727272727,938.0,7.07,6.396666666666666
537416,4653704,Sweden,4-4-2,6.311818181818182,69.43,84.0909090909091,925.0,5.34,6.029999999999999
537417,4653705,Canada,4-4-2,7.201818181818182,79.22,79.36363636363636,873.0,6.2,6.51
537417,4653705,South Africa,4-2-3-1,6.905454545454545,75.96,85.18181818181819,937.0,5.99,6.2
537418,4653706,Morocco,4-2-3-1,7.167272727272728,78.84,102.36363636363636,1126.0,6.4,6.836
537418,4653706,Netherlands,3-4-2-1,6.9363636363636365,76.30000000000001,103.36363636363636,1137.0,6.23,6.398
537419,4653707,Croatia,4-2-3-1,,,,,,
537419,4653707,Portugal,4-2-3-1,,,,,,
537420,4653708,Austria,4-2-3-1,,,,,,
537420,4653708,Spain,4-3-3,,,,,,
537421,4653709,Bosnia-Herzegovina,4-4-2,,,,,,
537421,4653709,United States,3-4-2-1,,,,,,
537422,4653710,Belgium,4-2-3-1,,,,,,
537422,4653710,Senegal,4-3-3,,,,,,
537423,4653711,Brazil,4-3-3,7.497272727272727,82.47,83.54545454545455,919.0,6.25,6.695
537423,4653711,Japan,3-4-2-1,6.487272727272727,71.36000000000001,83.36363636363636,917.0,5.64,5.91
537424,4653712,Ivory Coast,4-3-3,6.614545454545455,72.75999999999999,84.0909090909091,925.0,5.71,6.984999999999999
537424,4653712,Norway,4-3-3,7.35,80.85,85.9090909090909,945.0,6.46,6.335
537425,4653713,Ecuador,4-4-2,,,,,,
537425,4653713,Mexico,4-3-3,,,,,,
537426,4653714,Congo DR,4-4-2,,,,,,
537426,4653714,England,4-2-3-1,,,,,,
537427,4653715,Argentina,4-1-3-2,,,,,,
537427,4653715,Cape Verde,4-1-4-1,,,,,,
537428,4653716,Australia,3-4-2-1,,,,,,
537428,4653716,Egypt,4-2-3-1,,,,,,
537429,4653717,Algeria,4-2-3-1,,,,,,
537429,4653717,Switzerland,4-2-3-1,,,,,,
537430,4653718,Colombia,4-3-3,,,,,,
537430,4653718,Ghana,4-1-2-3,,,,,,
